,findSigExposures,best_columns,Cancer Types,Sample Names
283,0.12220181657218514,0,SP89291,Thy-AdenoCA
284,0.42682918480856763,4,SP89291,Thy-AdenoCA
285,0.4509689986192472,44,SP89291,Thy-AdenoCA
286,0.14485166068791935,0,SP105807,Thy-AdenoCA
287,0.36903631980063556,4,SP105807,Thy-AdenoCA
288,0.48611201951144517,44,SP105807,Thy-AdenoCA
289,0.10454244455017841,0,SP85864,Thy-AdenoCA
290,0.41658291786715895,4,SP85864,Thy-AdenoCA
291,0.4788746375826627,44,SP85864,Thy-AdenoCA
292,0.12561848913278764,0,SP87434,Thy-AdenoCA
293,0.09266838477869672,1,SP87434,Thy-AdenoCA
294,0.3212711322401627,4,SP87434,Thy-AdenoCA
295,0.03341420667157604,16,SP87434,Thy-AdenoCA
296,0.42702778717677686,44,SP87434,Thy-AdenoCA
297,0.1282312965971084,0,SP87099,Thy-AdenoCA
298,0.338045248318187,4,SP87099,Thy-AdenoCA
299,0.5337234550847045,44,SP87099,Thy-AdenoCA
300,0.1079423000151655,0,SP86306,Thy-AdenoCA
301,0.5758562173687364,4,SP86306,Thy-AdenoCA
302,0.31620148261609815,44,SP86306,Thy-AdenoCA
303,0.08260609992719767,0,SP86118,Thy-AdenoCA
304,0.5312894759595552,4,SP86118,Thy-AdenoCA
305,0.38610442411324714,44,SP86118,Thy-AdenoCA
306,0.14982504299948018,0,SP105922,Thy-AdenoCA
307,0.4924396664555893,4,SP105922,Thy-AdenoCA
308,0.3577352905449306,44,SP105922,Thy-AdenoCA
309,0.16346059815085318,0,SP85818,Thy-AdenoCA
310,0.21937928336929824,34,SP85818,Thy-AdenoCA
311,0.6171601184798486,62,SP85818,Thy-AdenoCA
312,0.1406592073881815,0,SP105708,Thy-AdenoCA
313,0.31581181921217016,4,SP105708,Thy-AdenoCA
314,0.5435289733996485,44,SP105708,Thy-AdenoCA
315,0.026133104922719943,0,SP120767,Thy-AdenoCA
316,0.1969293747539847,1,SP120767,Thy-AdenoCA
317,0.5309931537632295,4,SP120767,Thy-AdenoCA
318,0.24594436656006582,16,SP120767,Thy-AdenoCA
319,0.10547182895387208,0,SP85836,Thy-AdenoCA
320,0.496336926217356,4,SP85836,Thy-AdenoCA
321,0.39819124482877194,44,SP85836,Thy-AdenoCA
322,0.12094240027385181,0,SP87675,Thy-AdenoCA
323,0.5414905643137532,4,SP87675,Thy-AdenoCA
324,0.3375670354123951,44,SP87675,Thy-AdenoCA
325,0.0765276403117135,0,SP85840,Thy-AdenoCA
326,0.57406658324257,4,SP85840,Thy-AdenoCA
327,0.3494057764457166,44,SP85840,Thy-AdenoCA
328,0.07978171233896324,0,SP85952,Thy-AdenoCA
329,0.31600655310111003,4,SP85952,Thy-AdenoCA
330,0.6042117345599268,44,SP85952,Thy-AdenoCA
331,0.06888822148760845,0,SP85511,Thy-AdenoCA
332,0.6062992567028216,4,SP85511,Thy-AdenoCA
333,0.32481252180957004,44,SP85511,Thy-AdenoCA
334,0.11364490506052269,0,SP89090,Thy-AdenoCA
335,0.4361860457696355,4,SP89090,Thy-AdenoCA
336,0.4501690491698419,44,SP89090,Thy-AdenoCA
337,0.11722941271589023,0,SP87582,Thy-AdenoCA
338,0.35647261404163,4,SP87582,Thy-AdenoCA
339,0.5262979732424797,44,SP87582,Thy-AdenoCA
340,0.1280455348889936,0,SP85491,Thy-AdenoCA
341,0.3483794150781735,4,SP85491,Thy-AdenoCA
342,0.523575050032833,44,SP85491,Thy-AdenoCA
343,0.06147833480410674,0,SP85623,Thy-AdenoCA
344,0.5233855421129839,4,SP85623,Thy-AdenoCA
345,0.4151361230829094,44,SP85623,Thy-AdenoCA
346,0.09410850968380702,0,SP85287,Stomach-AdenoCA
347,0.15203618976867253,4,SP85287,Stomach-AdenoCA
348,0.04673032245184847,20,SP85287,Stomach-AdenoCA
349,0.07154623678233238,21,SP85287,Stomach-AdenoCA
350,0.2381412617108208,22,SP85287,Stomach-AdenoCA
351,0.3974374796025187,44,SP85287,Stomach-AdenoCA
352,0.03737354633376204,0,SP105375,Stomach-AdenoCA
353,0.329471659173116,4,SP105375,Stomach-AdenoCA
354,0.041064723081289015,20,SP105375,Stomach-AdenoCA
355,0.09990527108800275,21,SP105375,Stomach-AdenoCA
356,0.1978875912909432,22,SP105375,Stomach-AdenoCA
357,0.294297209032887,45,SP105375,Stomach-AdenoCA
358,0.19555871473678427,0,SP85222,Stomach-AdenoCA
359,0.03732185978041163,1,SP85222,Stomach-AdenoCA
360,0.1409203973222057,4,SP85222,Stomach-AdenoCA
361,0.03248625162514706,16,SP85222,Stomach-AdenoCA
362,0.1611761500674707,22,SP85222,Stomach-AdenoCA
363,0.43253662646798063,44,SP85222,Stomach-AdenoCA
364,0.32004984334243514,0,SP104984,Stomach-AdenoCA
365,0.4439454987440252,4,SP104984,Stomach-AdenoCA
366,0.02455329739228505,20,SP104984,Stomach-AdenoCA
367,0.04892279297624492,21,SP104984,Stomach-AdenoCA
368,0.16252856754500972,22,SP104984,Stomach-AdenoCA
369,0.19272454441561343,0,SP85130,Stomach-AdenoCA
370,0.17728506663966764,4,SP85130,Stomach-AdenoCA
371,0.03976129441155835,20,SP85130,Stomach-AdenoCA
372,0.12617881623689958,21,SP85130,Stomach-AdenoCA
373,0.46405027829626105,44,SP85130,Stomach-AdenoCA
374,0.01877869085788999,0,SP84922,Stomach-AdenoCA
375,0.37035402266436296,4,SP84922,Stomach-AdenoCA
376,0.1611555207700665,20,SP84922,Stomach-AdenoCA
377,0.44971176570768057,21,SP84922,Stomach-AdenoCA
378,0.059331329544333976,0,SP85230,Stomach-AdenoCA
379,0.030765502494080308,1,SP85230,Stomach-AdenoCA
380,0.43463925259755204,2,SP85230,Stomach-AdenoCA
381,0.12452156291616495,4,SP85230,Stomach-AdenoCA
382,0.059320878041767,16,SP85230,Stomach-AdenoCA
383,0.2914214744061017,44,SP85230,Stomach-AdenoCA
384,0.10589059338291104,0,SP105159,Stomach-AdenoCA
385,0.031219706633166554,1,SP105159,Stomach-AdenoCA
386,0.24702608652176952,4,SP105159,Stomach-AdenoCA
387,0.035006292583910956,21,SP105159,Stomach-AdenoCA
388,0.19836904421016882,22,SP105159,Stomach-AdenoCA
389,0.38248827666807306,44,SP105159,Stomach-AdenoCA
390,0.01742769905209514,0,SP84439,Stomach-AdenoCA
391,0.5137389813740285,4,SP84439,Stomach-AdenoCA
392,0.13305746571043808,18,SP84439,Stomach-AdenoCA
393,0.13765190916315892,24,SP84439,Stomach-AdenoCA
394,0.19812394470027936,25,SP84439,Stomach-AdenoCA
395,0.10741722890690253,0,SP105006,Stomach-AdenoCA
396,0.03089572491182704,1,SP105006,Stomach-AdenoCA
397,0.4468553961433843,4,SP105006,Stomach-AdenoCA
398,0.022012080974501472,16,SP105006,Stomach-AdenoCA
399,0.0668646572654969,20,SP105006,Stomach-AdenoCA
400,0.12954755437401566,21,SP105006,Stomach-AdenoCA
401,0.19640735742387194,22,SP105006,Stomach-AdenoCA
402,0.07863503443380766,0,SP84962,Stomach-AdenoCA
403,0.19940804059130912,4,SP84962,Stomach-AdenoCA
404,0.3489106987069379,22,SP84962,Stomach-AdenoCA
405,0.37304622626794526,44,SP84962,Stomach-AdenoCA
406,0.10146423224611958,0,SP85431,Stomach-AdenoCA
407,0.08484491516585829,1,SP85431,Stomach-AdenoCA
408,0.2755171697461693,4,SP85431,Stomach-AdenoCA
409,0.03692337671781157,16,SP85431,Stomach-AdenoCA
410,0.5012503061240413,44,SP85431,Stomach-AdenoCA
411,0.16569104815800334,0,SP105577,Stomach-AdenoCA
412,0.035950994218601595,1,SP105577,Stomach-AdenoCA
413,0.4572466259103174,4,SP105577,Stomach-AdenoCA
414,0.022932275545872204,20,SP105577,Stomach-AdenoCA
415,0.04456140154997023,21,SP105577,Stomach-AdenoCA
416,0.27361765461723514,22,SP105577,Stomach-AdenoCA
417,0.1103765742671254,0,SP105213,Stomach-AdenoCA
418,0.6546895449495026,4,SP105213,Stomach-AdenoCA
419,0.234933880783372,22,SP105213,Stomach-AdenoCA
420,0.13405514672059268,0,SP84086,Stomach-AdenoCA
421,0.04627113853537817,1,SP84086,Stomach-AdenoCA
422,0.2186591478086989,4,SP84086,Stomach-AdenoCA
